x1,x2,rg_mean,rg_std
15,0,2.999124279,0.085402295
15,1,3.2875301,0.079670031
15,2,3.035901376,0.075284749
15,3,2.925693194,0.069949676
15,4,3.155865903,0.091308139
15,5,3.404196557,0.092268308
15,6,2.98918502,0.077991599
15,7,3.11553232,0.08584189
15,8,3.439257464,0.086816686
15,9,2.982713624,0.078664367
15,10,3.472707004,0.096589031
15,11,3.049021855,0.06323903
15,12,3.439477346,0.087908132
15,13,3.286055139,0.079577115
15,14,3.301352387,0.092170553
15,15,3.328322927,0.061307367
15,16,3.350420865,0.092892991
15,17,3.440421019,0.088498402
15,18,3.374561832,0.101830785
15,19,3.425869483,0.087296269
15,20,3.61742699,0.094204817
15,21,3.493423958,0.075026468
15,22,4.00142715,0.097230437
15,23,3.406881206,0.075987751
15,24,3.537559779,0.09946962
15,25,3.448323973,0.065885101
15,26,3.55683169,0.075436782
15,27,3.455929188,0.07670341
15,28,3.418879911,0.080761217
15,29,3.925724036,0.092423746
15,30,3.690856261,0.10176002
15,31,3.778702798,0.09184533
15,32,3.558164933,0.094756466
15,33,4.004918164,0.077038899
15,34,4.135885272,0.100946301
15,35,3.725937236,0.086272553
15,36,3.750331115,0.0832107
15,37,4.114009191,0.103453535
15,38,4.362172948,0.104369022
15,39,4.047727837,0.100794981
15,40,4.037640716,0.124387113
15,41,4.097712729,0.118703675
15,42,4.202623905,0.079732758
15,43,4.087737411,0.121752143
15,44,3.931883987,0.080718804
15,45,3.9429912,0.097048251
15,46,4.003030663,0.111360433
15,47,4.386946909,0.100451267
15,48,4.276058517,0.100153493
15,49,5.038728557,0.099677394
15,50,3.953982849,0.081975026
17,0,3.07683906,0.101635532
17,1,2.913520743,0.070938391
17,2,3.037903164,0.081766442
17,3,3.03075849,0.069953386
17,4,3.035373834,0.069398361
17,5,3.046295269,0.082387988
17,6,3.260857111,0.087381667
17,7,3.09063983,0.106181534
17,8,3.261889511,0.087636034
17,9,3.170243861,0.082475942
17,10,3.210542936,0.091336917
17,11,3.400827479,0.127294493
17,12,3.10494973,0.071961895
17,13,3.288935424,0.111657383
17,14,3.364423139,0.082510492
17,15,3.552328344,0.089366725
17,16,3.403828151,0.093490554
17,17,3.347343391,0.091752995
17,18,3.246801276,0.080334699
17,19,3.199309735,0.073482621
17,20,3.379236228,0.097078735
17,21,3.507422485,0.092767956
17,22,3.564336361,0.110375443
17,23,3.420696799,0.092356988
17,24,3.320810934,0.081733242
17,25,3.687280911,0.096355228
17,26,3.339790056,0.082895216
17,27,3.507855448,0.077507377
17,28,3.874477666,0.094954741
17,29,3.414344555,0.071289008
17,30,3.678739132,0.090527065
17,31,3.784677869,0.116599051
17,32,3.717483755,0.068584862
17,33,3.582973834,0.071994383
17,34,3.957044085,0.126552125
17,35,4.245069568,0.109306244
17,36,3.927320185,0.107595454
17,37,3.928604891,0.09799878
17,38,3.818634846,0.070556804
17,39,3.888162648,0.099951504
17,40,3.748152616,0.125366798
17,41,3.987015219,0.075368471
17,42,4.133895535,0.096426503
17,43,3.704275245,0.087778946
17,44,3.977175145,0.119229602
17,45,4.344784221,0.088458832
17,46,4.435539042,0.114002176
17,47,4.10284778,0.075881409
17,48,4.354088807,0.125373002
17,49,4.106292847,0.118817444
17,50,4.024543515,0.10267819
19,0,3.038238448,0.081686545
19,1,2.947384259,0.077645233
19,2,3.198043444,0.09108128
19,3,2.927438791,0.064812115
19,4,2.913611855,0.082406099
19,5,3.173023808,0.074627623
19,6,2.975285902,0.101360691
19,7,3.307661562,0.081705838
19,8,3.045343371,0.079870982
19,9,3.280546175,0.084219815
19,10,3.041607132,0.070615498
19,11,3.308944059,0.091641829
19,12,2.953032687,0.077722842
19,13,3.255274954,0.077041587
19,14,3.470056586,0.087716391
19,15,3.263862068,0.098394826
19,16,3.504374929,0.088038368
19,17,3.054457772,0.080647558
19,18,3.467689368,0.076260115
19,19,3.099347407,0.073054516
19,20,3.40976739,0.100525024
19,21,3.667704968,0.09114999
19,22,3.523037627,0.073939907
19,23,3.353509016,0.090754215
19,24,3.384536466,0.102348561
19,25,3.371476282,0.090769742
19,26,3.766332673,0.102076948
19,27,3.794189024,0.104210054
19,28,3.327904671,0.089408636
19,29,3.637780187,0.094159406
19,30,3.448035399,0.092077365
19,31,3.483901415,0.077063237
19,32,3.611157105,0.089253676
19,33,3.657148349,0.118594476
19,34,3.676001953,0.087320005
19,35,3.966024074,0.086506756
19,36,3.760600168,0.115940611
19,37,3.852956168,0.085269026
19,38,3.62923324,0.108437195
19,39,3.537405918,0.09186665
19,40,3.970930222,0.105782375
19,41,3.783340385,0.114869133
19,42,3.980886675,0.104991186
19,43,3.823712949,0.086243554
19,44,4.114194885,0.090687819
19,45,3.395808427,0.080487525
19,46,3.980116746,0.114466764
19,47,3.586261327,0.121050379
19,48,3.836747724,0.111992668
19,49,3.576085176,0.106403557
19,50,3.906036262,0.102987699
21,0,2.997044936,0.09240205
21,1,3.27427106,0.100179138
21,2,3.053201974,0.08639635
21,3,3.092405922,0.091455305
21,4,3.173947866,0.090521392
21,5,3.175501903,0.10042655
21,6,3.030402723,0.063813363
21,7,3.080790022,0.090975791
21,8,3.036762275,0.087376914
21,9,3.308112404,0.092857014
21,10,3.105206326,0.070575738
21,11,3.247213233,0.092118142
21,12,3.182891065,0.08700466
21,13,3.213026564,0.069300341
21,14,3.189974649,0.076665248
21,15,2.914738182,0.068169693
21,16,3.237859977,0.076976942
21,17,3.021232796,0.062316327
21,18,3.56382525,0.089249409
21,19,3.569229316,0.106765464
21,20,3.337394205,0.080703175
21,21,3.272281838,0.094023732
21,22,3.366795463,0.07982346
21,23,3.536197002,0.109215726
21,24,3.339649899,0.083766465
21,25,3.401767718,0.079739393
21,26,3.596251581,0.112241077
21,27,3.217780569,0.067865034
21,28,3.516236432,0.083554647
21,29,3.379654076,0.112534798
21,30,3.587732136,0.083141646
21,31,3.326223112,0.092305279
21,32,3.422296515,0.069297856
21,33,3.485394129,0.113229379
21,34,3.841603808,0.101747672
21,35,3.381470007,0.079042691
21,36,3.518686518,0.061694069
21,37,3.520730638,0.093101171
21,38,3.645887063,0.08647613
21,39,3.608250645,0.098318969
21,40,3.420296396,0.08748793
21,41,3.523435684,0.098131741
21,42,3.916035411,0.103787015
21,43,3.534798941,0.104206319
21,44,3.761688774,0.094395374
21,45,3.884934676,0.085601706
21,46,3.480067347,0.072879035
21,47,3.79491102,0.117480683
21,48,3.64936999,0.109162081
21,49,3.77004666,0.082233885
21,50,3.830641614,0.076156475
23,0,3.282252241,0.079760133
23,1,3.030919647,0.09104576
23,2,2.983225559,0.077960605
23,3,2.982677871,0.065473094
23,4,3.264155551,0.076704932
23,5,3.167255261,0.105198524
23,6,3.053946714,0.073477783
23,7,3.169967581,0.101486098
23,8,2.950002149,0.087835015
23,9,3.070750614,0.075979085
23,10,3.00549556,0.076683154
23,11,3.073329948,0.06654286
23,12,3.341530102,0.062197231
23,13,3.124211844,0.07995408
23,14,3.127015953,0.093014951
23,15,3.088045152,0.05977439
23,16,3.239738699,0.067905185
23,17,2.917079449,0.052048194
23,18,3.075453755,0.104462964
23,19,3.257716541,0.088099209
23,20,3.26307014,0.098920152
23,21,3.326243834,0.086818853
23,22,3.147539536,0.075973103
23,23,3.616242337,0.101514913
23,24,3.14018916,0.076989098
23,25,3.213670623,0.082910077
23,26,3.119235297,0.064045305
23,27,3.23107409,0.070559498
23,28,3.385121527,0.094988258
23,29,3.380620293,0.13532662
23,30,3.081022132,0.066153147
23,31,3.685240247,0.079292314
23,32,3.058935195,0.057552405
23,33,3.122101985,0.075584955
23,34,3.552682104,0.074654971
23,35,3.289147208,0.074345506
23,36,3.615001177,0.114415798
23,37,3.38262407,0.079025826
23,38,3.283604611,0.079150407
23,39,3.747445634,0.092542083
23,40,3.299020008,0.061186762
23,41,3.391699415,0.086262804
23,42,3.407987159,0.120415392
23,43,3.319730728,0.080195404
23,44,3.485647299,0.104191592
23,45,3.308250828,0.06656549
23,46,3.34974395,0.080605617
23,47,3.471767375,0.107037188
23,48,3.495462878,0.091909173
23,49,3.543146521,0.107560496
23,50,3.591430687,0.085659716
25,0,2.980973545,0.083991411
25,1,3.151524654,0.070653289
25,2,3.040449595,0.086144869
25,3,3.217559246,0.091470593
25,4,3.061268212,0.093977228
25,5,3.086053748,0.075678203
25,6,3.028598742,0.076222084
25,7,2.998949831,0.081874474
25,8,3.072207571,0.058208045
25,9,3.476000592,0.089178015
25,10,3.055025746,0.086089188
25,11,2.926748091,0.07923366
25,12,3.01130487,0.075815157
25,13,3.093800505,0.072974797
25,14,3.103468131,0.100522317
25,15,3.241624669,0.078727224
25,16,3.033342077,0.105060144
25,17,3.209309257,0.063986201
25,18,3.214364191,0.091242615
25,19,3.516771278,0.076622263
25,20,3.238799291,0.098978894
25,21,3.166526045,0.083138631
25,22,3.090019988,0.081280737
25,23,3.482062044,0.079594404
25,24,3.337199336,0.095546466
25,25,3.067946581,0.093402412
25,26,3.158281874,0.076604029
25,27,3.327247918,0.096883974
25,28,3.46047678,0.089365822
25,29,3.307976558,0.083436678
25,30,3.107847012,0.066210505
25,31,3.573306709,0.076279016
25,32,3.167595582,0.088087776
25,33,3.468493053,0.084216642
25,34,3.197900979,0.079745992
25,35,3.183845083,0.086356774
25,36,3.251147478,0.097317415
25,37,3.198599903,0.070676446
25,38,3.317921183,0.085798132
25,39,3.056778748,0.092070692
25,40,2.930349776,0.074916687
25,41,3.11618431,0.106075582
25,42,2.99233469,0.071249709
25,43,3.145903377,0.09474599
25,44,3.156858653,0.070199922
25,45,3.008665269,0.069145246
25,46,3.385034206,0.103516742
25,47,3.402406169,0.102806895
25,48,3.159033705,0.069515547
25,49,3.219792914,0.081929626
25,50,3.108970297,0.087607907
27,0,2.824102147,0.061668494
27,1,2.817503243,0.0790578
27,2,2.941884125,0.071831636
27,3,3.004314653,0.101392198
27,4,3.090625614,0.074725842
27,5,3.10361303,0.085961843
27,6,3.082436663,0.077359421
27,7,3.08949935,0.076995082
27,8,3.422411369,0.094582692
27,9,3.364285436,0.097837232
27,10,3.010617718,0.098994005
27,11,3.218085216,0.086827334
27,12,3.165149249,0.078419771
27,13,3.358295001,0.073123686
27,14,2.919977471,0.067303606
27,15,3.326143206,0.085853942
27,16,3.159012997,0.056901162
27,17,3.381368612,0.095170933
27,18,3.174825452,0.087014271
27,19,3.154046465,0.073942486
27,20,2.981903515,0.082551694
27,21,3.15510765,0.088579816
27,22,3.293338161,0.07302362
27,23,3.053917585,0.069748079
27,24,2.781720338,0.065121381
27,25,3.077862509,0.094567744
27,26,3.360878124,0.102449932
27,27,3.36740381,0.088968209
27,28,3.269939307,0.082088604
27,29,3.218331922,0.103823679
27,30,3.142752708,0.065852227
27,31,2.905919323,0.060666862
27,32,3.061689743,0.102389347
27,33,3.226766228,0.104123973
27,34,3.433475104,0.10580672
27,35,3.113286212,0.065223625
27,36,3.156989192,0.092553153
27,37,3.054104396,0.081541636
27,38,2.957029285,0.083650374
27,39,2.86547908,0.081013458
27,40,3.365319465,0.073579445
27,41,2.840078036,0.099777258
27,42,3.056871052,0.091783504
27,43,3.158004858,0.086463945
27,44,2.655901618,0.065997414
27,45,2.983377159,0.074877204
27,46,3.033347006,0.072199409
27,47,3.031046393,0.085109516
27,48,2.659352425,0.081331424
27,49,2.703894787,0.081510792
27,50,2.967385962,0.082413605
29,0,3.186147986,0.087682294
29,1,2.928788583,0.067461352
29,2,2.7968363,0.06345552
29,3,3.01737589,0.077199159
29,4,3.164315419,0.09523078
29,5,3.020765809,0.095645921
29,6,3.31890813,0.087968721
29,7,3.144389959,0.070372808
29,8,3.454667972,0.076540015
29,9,3.148385885,0.09439771
29,10,3.069461657,0.097599736
29,11,3.15183263,0.094780143
29,12,3.107811725,0.079338555
29,13,3.244109534,0.056605574
29,14,2.991882248,0.086166627
29,15,2.888784633,0.074797955
29,16,3.222152812,0.080138079
29,17,2.977376211,0.074922369
29,18,2.928831694,0.06753729
29,19,2.984526632,0.066709151
29,20,3.420930375,0.100448884
29,21,3.12333663,0.066016581
29,22,2.820270804,0.093463402
29,23,3.164042619,0.076785199
29,24,2.839076364,0.079030139
29,25,2.989064583,0.074884235
29,26,2.740587462,0.082841666
29,27,3.212740793,0.072178419
29,28,3.001797548,0.08106597
29,29,2.790300034,0.082150036
29,30,3.026936111,0.092347655
29,31,2.998861439,0.085706235
29,32,3.14080141,0.096634273
29,33,3.27451518,0.070373489
29,34,3.066915041,0.076811073
29,35,2.960347427,0.094712876
29,36,3.204068204,0.076166301
29,37,3.004497994,0.073083837
29,38,2.765880291,0.105827605
29,39,2.843406236,0.074736786
29,40,2.758572726,0.100583332
29,41,2.50775798,0.100971213
29,42,2.508840315,0.082537862
29,43,2.543846537,0.080665386
29,44,2.390867716,0.098628471
29,45,2.565961436,0.096300988
29,46,2.357039,0.086114761
29,47,2.28469827,0.069748902
29,48,2.241618626,0.072166968
29,49,2.108356403,0.058346737
29,50,2.072933577,0.068432705
31,0,2.840907383,0.068617806
31,1,3.094354942,0.08587684
31,2,3.146194615,0.066664545
31,3,2.896240327,0.070537243
31,4,2.713575064,0.076293242
31,5,3.300196789,0.077491964
31,6,3.034928594,0.090225091
31,7,3.218069767,0.089523687
31,8,2.710377661,0.064336813
31,9,2.704009072,0.070588834
31,10,3.101974077,0.090931211
31,11,3.309707011,0.096984126
31,12,3.074032085,0.086815162
31,13,3.122285067,0.085515154
31,14,2.964273149,0.087889684
31,15,3.203306318,0.094545238
31,16,3.077406057,0.085318519
31,17,2.936033759,0.090547751
31,18,3.264092988,0.099401067
31,19,3.002869251,0.073109056
31,20,3.182476423,0.077082865
31,21,2.802302295,0.07450204
31,22,3.069778974,0.074547196
31,23,2.831239283,0.062913023
31,24,3.228807402,0.09559836
31,25,2.838145258,0.078174406
31,26,3.323866196,0.082737113
31,27,3.138013234,0.083263566
31,28,2.773541198,0.079305368
31,29,2.497719413,0.062091179
31,30,3.368864984,0.068700183
31,31,2.454243388,0.071415505
31,32,2.700740558,0.108284771
31,33,2.455956993,0.097613974
31,34,2.964397597,0.130100922
31,35,2.958407475,0.090840998
31,36,2.394733724,0.082210119
31,37,2.462569155,0.080927723
31,38,2.424317992,0.094676025
31,39,2.255244091,0.078150563
31,40,2.412317014,0.112879666
31,41,1.982625536,0.062523367
31,42,1.937255158,0.033772261
31,43,2.230836724,0.096534884
31,44,2.23177194,0.089801971
31,45,2.009283921,0.061803646
31,46,1.933823665,0.058358618
31,47,1.822509291,0.029681056
31,48,1.850259284,0.035527766
31,49,1.890194344,0.056577849
31,50,1.870099028,0.054478553
33,0,2.906248768,0.072200202
33,1,3.120269185,0.093186303
33,2,3.077185692,0.078004714
33,3,3.046968765,0.061504707
33,4,3.206820509,0.095531916
33,5,3.216714444,0.09503524
33,6,2.836988199,0.074160448
33,7,3.128794977,0.099281827
33,8,3.199971523,0.090694311
33,9,3.395605947,0.096938477
33,10,2.889300775,0.094837291
33,11,3.251113759,0.091297245
33,12,3.392499139,0.088476388
33,13,2.949899715,0.097634435
33,14,3.194303127,0.071784898
33,15,2.888552916,0.093427372
33,16,3.031677954,0.086305023
33,17,2.993441415,0.078237676
33,18,2.948143765,0.088453015
33,19,3.276787956,0.085072108
33,20,3.1914282,0.106407183
33,21,3.016884307,0.09655275
33,22,2.839646985,0.097553812
33,23,3.123353328,0.072850505
33,24,2.203803699,0.042680437
33,25,2.730628443,0.092376262
33,26,2.475863467,0.079691574
33,27,2.376945481,0.071261313
33,28,2.239534058,0.078269186
33,29,2.115756806,0.050155193
33,30,2.588923045,0.095045692
33,31,2.758332915,0.090517745
33,32,1.98458206,0.025601038
33,33,2.093140683,0.063095745
33,34,2.30609807,0.086829786
33,35,1.89112547,0.023937756
33,36,1.920401072,0.024411312
33,37,1.97419895,0.046379416
33,38,1.872344283,0.030758867
33,39,1.846670483,0.034107911
33,40,1.865152535,0.04872803
33,41,1.766039857,0.02051065
33,42,1.799230515,0.025334434
33,43,1.810427406,0.022473208
33,44,1.825042598,0.04467875
33,45,1.707078536,0.022007863
33,46,1.693831259,0.019519559
33,47,1.680172564,0.016721663
33,48,1.693366971,0.025064157
33,49,1.688173543,0.029866436
